"sample","marker_taxonomy","tpm","num_reads"
"D_tamminensis_BEC324","d__Bacteria",4549.323733,58
"D_tamminensis_BEC324","d__Bacteria",2090.651931,118
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae",18016.681984,68
"D_tamminensis_BEC324","d__Bacteria",2463.117406,25
"D_tamminensis_BEC324","d__Bacteria",3380.967986,74
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia",1589.251237,22
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia",3634.752288,76
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria",6363.282131,49
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",3018.100439,17
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1735.062625,105
"D_tamminensis_BEC324","d__Bacteria",3069.621906,32
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01",3968.48424,63.07
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae",6753.984381,50.184
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae",6753.984381,50.184
"D_tamminensis_BEC324","d__Bacteria",1964.645997,22
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae",7772.992167,186.599
"D_tamminensis_BEC324","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01",1801.160249,109
"D_tamminensis_BEC324","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae",3291.001124,241
"D_tamminensis_BEC325","d__Bacteria",2238.882918,20.384
"D_tamminensis_BEC325","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales",2238.882918,20.384
"D_tamminensis_BEC325","d__Bacteria",2337.532211,18
"D_tamminensis_BEC325","d__Bacteria",4827.710116,49
"D_tamminensis_BEC325","d__Bacteria",7900.834316,33
"D_tamminensis_BEC325","d__Bacteria;p__Bacillota",1017.806929,46
"D_tamminensis_BEC325","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2282.772855,268
"D_tamminensis_BEC325","d__Bacteria",2343.236559,90.244
"D_tamminensis_BEC325","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2343.236559,90.244
"D_tamminensis_BEC325","d__Bacteria",1212.509309,26.538
"D_tamminensis_BEC325","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales",3232.583113,105
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2435.847086,469
"D_tamminensis_BEC326","d__Bacteria",2435.847086,469
"D_tamminensis_BEC326","d__Bacteria",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia",1940.014894,42.462
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2527.917427,92
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01",2474.308831,149.333
"D_tamminensis_BEC326","d__Bacteria",2474.308831,149.333
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia",1661.682918,194
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2156.43156,95
"D_tamminensis_BEC326","d__Bacteria",2935.735892,23
"D_tamminensis_BEC326","d__Bacteria",1490.295706,19
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2122.989213,279
"D_tamminensis_BEC326","d__Bacteria;p__Bacillota;c__Clostridia",3277.493163,29.841
"D_tamminensis_BEC327","d__Bacteria",3895.887019,30
"D_tamminensis_BEC327","d__Bacteria",3393.171741,28
"D_tamminensis_BEC327","d__Bacteria",1607.437634,18
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1589.707234,6
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1926.247082,115
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales",1814.678282,30
"D_tamminensis_BEC327","d__Bacteria",1814.678282,30
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia",1814.678282,30
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1814.678282,30
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales",5442.500293,20
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1140.61912,138
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",1258.956813,53
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia",1673.403006,15
"D_tamminensis_BEC327","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2432.167768,188.811
